City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,245.59,97,64,3.05,RU,1739127333
1,bonthe,7.5264,-12.505,300.37,73,6,4.45,SL,1739127334
2,stanley,54.868,-1.6985,277.33,89,75,3.6,GB,1739127336
3,keflavik,64.0049,-22.5624,279.39,93,100,11.83,IS,1739127337
4,port-aux-francais,-49.35,70.2167,280.98,94,94,14.95,TF,1739127338
5,bestobe,52.4994,73.0975,260.79,97,50,3.57,KZ,1739127339
6,albany,42.6001,-73.9662,273.31,70,100,1.79,US,1739127340
7,sitka,57.0531,-135.33,275.09,93,100,0.0,US,1739127341
8,prince rupert,54.3161,-130.3201,271.98,86,0,5.14,CA,1739127342
9,eirunepe,-6.6603,-69.8736,302.1,77,60,1.11,BR,1739127344
10,hawaiian paradise park,19.5933,-154.9731,296.43,89,100,2.05,US,1739127345
11,waitangi,-43.9535,-176.5597,289.16,94,22,0.89,NZ,1739127346
12,adamstown,-25.066,-130.1015,298.2,78,87,2.26,PN,1739127347
13,khandyga,62.6667,135.6,229.15,100,76,0.8,RU,1739127348
14,villemandeur,47.987,2.718,279.34,87,100,3.08,FR,1739127349
15,whitehorse,60.7161,-135.0538,256.58,84,100,1.54,CA,1739127350
16,saldanha,-33.0117,17.9442,290.9,74,0,11.86,ZA,1739127351
17,chibougamau,49.9168,-74.3659,255.94,66,100,2.06,CA,1739127353
18,newport,51.5877,-2.9984,280.62,86,100,10.78,GB,1739127174
19,blackmans bay,-43.0167,147.3167,285.11,81,100,2.45,AU,1739127355
20,bardai,11.65,7.2333,297.88,15,8,4.12,NG,1739127356
21,papatowai,-46.5619,169.4708,284.81,77,92,0.63,NZ,1739127357
22,saipan,15.1355,145.701,298.54,90,75,5.66,MP,1739127358
23,fiambala,-27.6871,-67.6149,306.41,19,9,5.88,AR,1739127359
24,amga,60.8953,131.9608,230.9,100,91,0.32,RU,1739127360
25,puerto natales,-51.7236,-72.4875,289.4,39,75,5.66,CL,1739127362
26,port alfred,-33.5906,26.891,293.25,87,87,4.16,ZA,1739127363
27,ushuaia,-54.8,-68.3,283.96,54,75,5.14,AR,1739127282
28,antofagasta,-23.65,-70.4,297.75,70,42,3.03,CL,1739127365
29,natal,-5.795,-35.2094,304.27,62,75,8.23,BR,1739127196
30,fedorovskiy,45.0972,40.9517,268.26,79,0,4.67,RU,1739127368
31,sambava,-14.2667,50.1667,299.96,86,100,2.11,MG,1739127369
32,west island,-12.1568,96.8225,300.14,94,75,8.23,CC,1739127370
33,bethel,41.3712,-73.414,274.2,76,100,2.06,US,1739127371
34,margaret river,-33.95,115.0667,293.47,85,100,4.9,AU,1739127373
35,kayangel,8.0823,134.7173,300.74,79,100,9.81,PW,1739127374
36,rawson,-43.3002,-65.1023,305.31,15,0,6.17,AR,1739127375
37,grytviken,-54.2811,-36.5092,276.25,67,23,1.3,GS,1739127377
38,kendari,-3.945,122.4989,297.16,95,100,1.08,ID,1739127378
39,aswan,24.0934,32.907,291.76,27,0,2.06,EG,1739127254
40,hithadhoo,-0.6,73.0833,301.39,72,4,5.17,MV,1739127380
41,badger,64.8,-147.5333,248.7,80,0,1.54,US,1739127381
42,mar del plata,-38.0023,-57.5575,295.9,65,0,5.66,AR,1739127092
43,isangel,-19.55,169.2667,298.7,89,100,0.76,VU,1739127383
44,altamont,42.2068,-121.7372,269.7,87,100,1.54,US,1739127385
45,alaghsas,17.0187,8.0168,300.09,17,4,6.69,NE,1739127386
46,buulobarde,3.8538,45.5674,297.79,67,28,7.6,SO,1739127387
47,nadi,-17.8,177.4167,297.15,94,40,0.0,FJ,1739127388
48,fortuna,40.5982,-124.1573,280.92,77,0,0.45,US,1739127389
49,jonesborough,36.2943,-82.4735,286.08,62,7,1.48,US,1739127390
50,nar'yan-mar,67.6713,53.087,266.52,92,98,7.7,RU,1739127333
51,hadibu,12.65,54.0333,297.37,79,27,2.32,YE,1739127392
52,hamilton,39.1834,-84.5333,276.38,68,100,2.06,US,1739126655
53,hermanus,-34.4187,19.2345,292.48,64,0,6.24,ZA,1739127395
54,canutama,-6.5339,-64.3831,301.27,71,91,1.44,BR,1739127253
55,carnarvon,-24.8667,113.6333,298.04,72,100,9.62,AU,1739127397
56,chilecito,-29.1619,-67.4974,308.95,20,7,3.88,AR,1739127398
57,levuka,50.1834,-105.4011,258.0,78,40,9.77,CA,1739127399
58,invercargill,-46.4,168.35,284.83,88,52,0.36,NZ,1739127400
59,ocean acres,39.7435,-74.281,278.03,68,93,2.68,US,1739127401
60,longyearbyen,78.2186,15.6401,266.06,63,75,6.17,SJ,1739127403
61,edinburgh of the seven seas,-37.0676,-12.3116,289.08,70,5,1.55,SH,1739127404
62,wailua homesteads,22.0669,-159.378,293.78,94,0,2.06,US,1739127405
63,iqaluit,63.7506,-68.5145,249.09,76,100,6.17,CA,1739127406
64,tenenkou,14.4572,-4.9169,303.4,12,9,4.57,ML,1739127407
65,la'ie,21.6477,-157.9253,295.43,81,6,4.36,US,1739127408
66,flying fish cove,-10.4217,105.6791,298.97,94,75,3.09,CX,1739127409
67,port mathurin,-19.6833,63.4167,300.89,81,82,5.95,MU,1739127410
68,punta arenas,-53.15,-70.9167,288.21,41,40,10.8,CL,1739127347
69,ola,59.5833,151.2833,246.18,87,13,4.26,RU,1739127413
70,svobodnyy,51.4,128.1333,253.71,94,100,1.8,RU,1739127414
71,guerrero negro,27.9769,-114.0611,293.62,54,1,0.76,MX,1739127132
72,daru,-9.0763,143.2092,298.43,87,100,2.19,PG,1739127416
73,olonkinbyen,70.9221,-8.7187,265.84,66,100,5.01,SJ,1739127417
74,rifle,39.5347,-107.7831,278.92,41,0,0.89,US,1739127418
75,mugia,43.1041,-9.2179,288.1,89,100,6.95,ES,1739127419
76,qaqortoq,60.7167,-46.0333,271.06,92,100,4.07,GL,1739127421
77,kulhudhuffushi,6.6221,73.07,300.43,67,95,3.18,MV,1739127422
78,virar,19.4667,72.8,298.49,42,0,2.08,IN,1739127423
79,labuan bajo,-8.4964,119.8877,299.25,86,100,0.54,ID,1739127425
80,sao joao da barra,-21.6403,-41.0511,305.2,80,100,4.74,BR,1739127427
81,klyuchi,52.2667,79.1667,262.0,97,99,3.96,RU,1739127428
82,island harbour,50.724,-1.2758,279.19,88,100,3.13,GB,1739127430
83,celestun,20.8667,-90.4,302.59,57,3,4.35,MX,1739127431
84,kingston,17.997,-76.7936,304.91,55,20,4.12,JM,1739127432
85,mangalam,9.7667,78.6667,296.67,80,0,3.33,IN,1739127433
